,no,store,address,phone
0,3,차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615
1,6,강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778
2,12,청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052
3,16,양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833
4,17,청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053
5,18,영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096
6,19,도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781
7,20,영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794
8,25,압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922
9,27,서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158
10,28,논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870
11,29,삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층  ,02-3466-8507
12,30,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-803-9994
