,name,address,tel
0,See&See,인천 남동구 구월동 1130,032-223-7300
1,가락DT점,서울 송파구 가락동 193-7,02-6378-8200
2,가산디지털,서울 금천구 가산동 50-3,02-6332-6500
3,가산비지니스센터점,서울 금천구 가산동 371-6,02-6341-8300
4,가야,부산 부산진구 가야동 50-4,051-935-6900
5,강남 2호점,서울 강남구 역삼동 822-2,02-6205-6400
6,강남구청,서울 강남구 논현동 242-29,02-6204-6400
7,강남삼성DT,서울 강남구 삼성동 113-7,02-6743-2600
8,강릉,강원 강릉시 임당동 86,033-920-3100
9,강릉송정DT,강원특별자치도 강릉시 송정동 546-4,033-920-9200
10,강선,경기 고양시 일산서구 주엽동 51-1,031-811-5600
11,거제,경남 거제시 장평동 1211,055-950-2300
12,경기광주DT,경기 광주시 쌍령동 155-18,031-699-2100
13,경산정평DT,경북 경산시 정평동 147-6,053-217-9200
14,경성대,부산 남구 대연동 72-23,051-915-5600
15,경주보문DT,경북 경주시 신평동 436,054-624-4700
