,name,address,tel
0,금정남산동DT  ,부산광역시 금정구 중앙대로 1989 (남산동),1522-3232
1,금정구청DT  ,부산광역시 금정구 중앙대로 1730 (부곡동),1522-3232
2,온천장역DT  ,부산광역시 금정구 식물원로 13 (장전동),1522-3232
3,부산대정문  ,부산광역시 금정구 부산대학로64번길 12 (장전동),1522-3232
4,부산대역  ,"부산광역시 금정구 장전로12번길 64, 1~4층 (장전동)",1522-3232
5,금정이마트  ,부산광역시 금정구 중앙대로1841번길 24 (구서동),1522-3232
6,금정구서  ,부산광역시 금정구 금강로 441 (구서동),1522-3232
7,부산서동  ,부산광역시 금정구 서동로 173 (서동),1522-3232
8,용호동W스퀘어  ,"부산광역시 남구 분포로 145 (용호동) 더블유스퀘어동 1019호,1020호,1021호,2011호 2012호",1522-3232
9,동명대DT  ,부산광역시 남구 신선로 423 (용당동),1522-3232
10,BIFC Mall  ,부산광역시 남구 문현금융로 40 (문현동) 부산국제금융센터,1522-3232
11,부산대연역  ,"부산광역시 남구 수영로 240-1, 1층 (대연동)",1522-3232
12,경성대  ,부산광역시 남구 수영로 312 (대연동),1522-3232
13,문현이마트  ,부산광역시 남구 전포대로91번길 47 (문현동),1522-3232
14,부산유엔공원  ,부산광역시 남구 유엔로 200 (대연동),1522-3232
15,용호빌리브  ,부산광역시 남구 분포로 61 (용호동) 빌리브센트로 제B동 101호~106호,1522-3232
16,부산대연못골  ,부산광역시 남구 못골로 87 (대연동),1522-3232
17,부산역라마다  ,부산광역시 동구 중앙대로196번길 10 (초량동),1522-3232
18,부산역아스티  ,부산광역시 동구 중앙대로214번길 7-8 (초량동),1522-3232
19,부산역  ,부산광역시 동구 중앙대로 216 (초량동),1522-3232
20,범일동일타워  ,부산광역시 동구 조방로 14 (범일동),1522-3232
21,부산초량역  ,부산광역시 동구 중앙대로 244 (초량동) 1층 일부,1522-3232
22,서면중앙대로R  ,부산광역시 부산진구 중앙대로 672 (부전동) 1층 2층,1522-3232
23,서면로R  ,부산광역시 부산진구 서면로 49-1 (부전동),1522-3232
24,양정역  ,부산광역시 부산진구 중앙대로 894 (양정동),1522-3232
25,동의대역  ,부산광역시 부산진구 가야대로 589 (가야제1동),1522-3232
26,부산개금역  ,부산광역시 부산진구 가야대로 462 (개금동),1522-3232
27,서면전포역  ,부산광역시 부산진구 전포대로199번길 27 (전포동),1522-3232
28,부산서면중앙로  ,부산광역시 부산진구 중앙대로 701 (부전동),1522-3232
29,서면서전로  ,부산광역시 부산진구 서전로 19 (부전동),1522-3232
30,부산서면  ,부산광역시 부산진구 중앙대로692번길 46-10 (부전동),1522-3232
31,서면역  ,부산광역시 부산진구 서전로 1 (부전동),1522-3232
32,부전역  ,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설1,2층 (부전동)",1522-3232
33,서면센트럴스퀘어  ,부산광역시 부산진구 중앙대로666번길 50 (부전동),1522-3232
34,서면메디컬거리  ,"부산광역시 부산진구 가야대로 783-1, 1층 (부전동)",1522-3232
35,서면중앙  ,부산광역시 부산진구 서면로68번길 1 (부전동),1522-3232
36,서면트레이더스  ,부산광역시 부산진구 시민공원로 31 (부암동),1522-3232
37,초읍대공원  ,부산광역시 부산진구 성지곡로 6 (초읍동),1522-3232
38,서면엠디엠타워  ,부산광역시 부산진구 중앙대로 639 (범천동),1522-3232
39,서면문화로  ,부산광역시 부산진구 서면문화로 10 (부전동),1522-3232
40,부산덕천역  ,부산광역시 북구 만덕대로 30 (덕천동),1522-3232
41,부산화명역  ,부산광역시 북구 금곡대로285번길 5 (화명동),1522-3232
42,화명강변DT  ,부산광역시 북구 금곡대로77 (덕천동),1522-3232
43,부산구남역DT  ,부산광역시 북구 백양대로 1040 (구포동),1522-3232
44,부산만덕DT  ,부산광역시 북구 만덕대로 323 (만덕동),1522-3232
45,사상주례DT  ,부산광역시 사상구 백양대로 520 (주례동),1522-3232
46,동서대DT  ,부산광역시 사상구 가야대로 338 (주례동),1522-3232
47,부산사상로  ,부산광역시 사상구 사상로 200 (괘법동) 105호,1522-3232
48,삼락강변DT  ,부산광역시 사상구 낙동대로 1306 (삼락동),1522-3232
49,사상엄궁DT  ,부산광역시 사상구 낙동대로 744 (엄궁동),1522-3232
50,부산사상광장로  ,부산광역시 사상구 광장로 22 (괘법동),1522-3232
51,사상이마트  ,부산광역시 사상구 광장로 17 (괘법동),1522-3232
52,다대포DT  ,부산광역시 사하구 다대로 493 (다대동),1522-3232
53,을숙도강변DT  ,부산광역시 사하구 하신번영로 381-6 (하단동),1522-3232
54,부산괴정역  ,부산광역시 사하구 사하로186번길 6 (괴정동),1522-3232
55,하단중앙  ,부산광역시 사하구 낙동남로 1411 (하단동),1522-3232
56,하단역2번출구  ,부산광역시 사하구 낙동남로 1398 (하단동),1522-3232
57,사하장림DT  ,부산광역시 사하구 을숙도대로 682 (장림동),1522-3232
58,다대포비치  ,부산광역시 사하구 다대로 714 (다대동),1522-3232
59,부산교대역DT  ,부산광역시 연제구 중앙대로 1250 (거제동),1522-3232
60,연산시티타워  ,부산광역시 연제구 중앙대로 1125 (연산동),1522-3232
