,store,sido-gu,address,phone
0,평택이충DT점,경기 평택시,경기도 평택시 추담로 30 (이충동 59) .,031-666-7034
1,충무로역점,서울 중구,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",02-2268-8960
2,평택지산점,경기 평택시,"경기도 평택시 지산로 10, 가이아프레지던스 1층  지산동 808-4, 101,102호",031-8029-9005
3,FKI타워2호점,서울 영등포구,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",02-782-3647
4,부산명지강변DT점,부산 강서구,부산광역시 강서구 르노삼성대로 586 (명지동) 1-3층,051-710-2800
5,전북대의과대점,전북 전주시 덕진구,"전북특별자치도 전주시 덕진구 건지로 20 (금암동, 전북대학교병원) 의학계학생회관1층",063-270-4597
6,(하)내린천휴게소점,강원 인제군,"강원도 인제군 상남면 서울양양고속도로 117 양양방향 내린천휴게소, 1층",.
7,(상)내린천휴게소점,강원 인제군,강원도 인제군 상남면 서울양양고속도로 117  서울방향 내린천휴게소 4층,.
8,대전호수공원점,대전 서구,"대전광역시 서구 도안동로 234-42 1,2층 도안동 2336",070-8862-8826
9,국립부경대청운관점,부산 남구,"부산광역시 남구 용소로 45 (대연동, 국립부경대학교대연캠퍼스) 청운관 1층",051-629-7419
10,(상)홍천휴게소R점,강원 홍천군,강원도 홍천군 화촌면 서울양양고속도로 83 .,.
11,이천점,경기 이천시,"경기도 이천시 어재연로 35, 1~3층 (창전동 160-25)",031-635-6655
12,(하)정안알밤휴게소점,충남 공주시,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) .,
13,(상)정안알밤휴게소점,충남 공주시,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) .,
14,제주곽지해수욕장점,제주 제주시,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~3층,064-799-1137 
15,신대방삼거리역점,서울 동작구,서울특별시 동작구 상도로 60 (대방동) 1층~2층,02-823-2377
16,대전삼부스포렉스점,대전 중구,"대전광역시 중구 태평로 83, 삼부스포렉스 1층 (태평동 408-11) .",042-301-9960
17,익산부송점,전북 익산시,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩 1층) .",063-832-1717
18,진해속천점,경남 창원시 진해구,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층,070-7786-1019
19,여의도포스트타워점,서울 영등포구,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층 ,02-2135-5321
20,대림역점,서울 영등포구,서울특별시 영등포구 도림로 140 대림빌딩 101호,02-834-1000
21,대천비치점,충남 보령시,충청남도 보령시 해수욕장4길 12 (신흑동) .,070-4146-0406
22,부산동래온천점,부산 동래구,부산광역시 동래구 금강로 116 (온천동) 금강메디컬타워 1층,051-923-5538
23,충정로역점,서울 서대문구,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,02-363-0807
24,부산고신대의과대학점,부산 사하구,부산광역시 서구 감천로 262 고신의대 강의동 1층,051-710-7565
25,대구수성못DI점,대구 수성구,대구광역시 수성구 용학로 62 1~2층,053-761-7186
26,경상국립대학생회관점,경남 진주시,경상남도 진주시 진주대로 501 경상국립대 학생회관 1층,055-772-0931
27,서서울공원점,서울 양천구,서울특별시 양천구 남부순환로58길 37 신월동 205-36,070-4277-6756
28,AK&세종점,세종 ,세종특별자치시 한누리대로 411 KT&G 세종타워A,044-960-5377
